MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
"1","사상","청소년","출장","16","관리자","참가","20240701","F","167","72.6","39.4",,"81","124","22.6","21.9",,"23","10.2","23.1","0.439","50.959","12","51.511","26.0",,"11",,"145",,,,,,"31.1",,"30.0",,,,,,,,,,,,,,,,,
"2","세종","청소년","출장","16","관리자","1등급","20240701","F","161.4","52.9","23.8",,"78","120","23.5","25.1",,"49","28","20.8","0.527","48.099","14","48.743","20.3",,"44",,"185",,,,,,"47.4",,"39.4",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","F","146.7","42.4",,"70.3",,,"16","17.6","19",,"14.6",,,,,,"19.7",,"25",,"108",,,,,,"41.5",,,,,,,,,,,,,,"0.48","29","0",,,
"2","광산","유소년","출장","11","관리자","참가","20240701","M","137.9","33",,"63.6",,,"13.8","13.1","74",,"3.6",,,,,,"17.4",,"74",,"160",,,,,,"41.8",,,,,,,,,,,,,,"0.46","47","7",,,
"1","세종","청소년","출장","16","관리자","3등급","20240701","F","152.1","53.4","34",,"73","116","22.2","19",,"33","11.2","22.9","0.489","47.399","12","47.951","23.1",,"47",,"154",,,,,,"41.6",,"38.6",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","179.8","112.4","39.7",,"85","127","39.7","45.1",,"24","12","22.2","0.461","56.005","8","56.373","34.8",,,,"165",,,,,,"40.1",,,,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","F","145.3","30.5",,"57.8",,,"12","13.7","31",,"10.5",,,,,,"14.4",,"41",,"149",,,,,,"44.9",,,,,,,,,,,,,,"0.40","28","10",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","167.5","62.3","37.7",,"84","124","30.4","29.1",,"11","6.5","22.92","0.436","59.754","12","60.306","22.2",,"12",,"145",,,,,,"48.8",,"32.1",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","155","41.5","20.9",,"74","117","17","19.4",,"28","6.9","22.55","0.397","54.304","19","55.178","17.3",,"11",,"140",,,,,,"46.7",,"34.5",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","178.6","92.1","32.6",,"87","128","27.1","27.4",,"27","-3","22.27","0.321","51.380","13","51.978","28.9",,"10",,"180",,,,,,"29.8",,"33.1",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","M","138.3","28.3",,"54.5",,,"12.5","14.4","52",,"11.9",,,,,,"14.8",,"51",,"185",,,,,,"50.9",,,,,,,,,,,,,,"0.39","30","5",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","166.7","54","12.1",,"78","116","41.3","47.4",,"50","-5","18","0.660","53.126","10","53.586","19.4",,"81",,"210",,,,,,"87.8",,"52.0",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","3등급","20240701","M","173.7","60.1","16.2",,"79","118","33.5","38.8",,"43","12.5","17.1","0.701","46.139","10","46.599","19.9",,"58",,"240",,,,,,"64.6",,"47.3",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","F","139.1","22.8",,"53.4",,,"9.9","11.8","24",,"7.9",,,,,,"11.8",,"62",,"160",,,,,,"51.8",,,,,,,,,,,,,,"0.38","26","0",,,
"1","사상","청소년","출장","16","관리자","2등급","20240701","M","166.1","58.7","12.8",,"79","118","41.4","44",,"60","12.3","16.58","0.652","38.741","11","39.247","21.3",,"66",,"245",,,,,,"75.0",,"48.2",,,,,,,,,,,,,,,,,
"2","세종","청소년","출장","17","관리자","참가","20240701","F","154.8","63","43.3",,"69","117","14.5","19.4",,"14","2.9","28.2","0.390","44.381","31","45.807","26.3",,"10",,"120",,,,,,"30.8",,"29.7",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","M","154.1","45.1",,"74",,,"17.7","20.9","42",,"13.2",,,,,,"19.0",,"51",,"165",,,,,,"46.3",,,,,,,,,,,,,,"0.48","27","3",,,
